"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,
Telkom 3S,NR (9/17),Indonesia,PT Telkomunikasi,Commercial,Communications,,GEO,,117.97,35780,35795,1.78E-04,0,1436.1,3550,,6400,02/14/17,18 yrs.,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,2017-007A,41944,Will replace Telkom 2.,
Telstar 11N,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-37.05,35774,35801,3.20E-04,0.04,1436.13,4010,,,02/26/09,15 yrs.,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SLB,2009-009A,34111,"39 Ku-band transponders; North America, Europe, Africa, across Atlantic.",
Telstar 12 (Orion 2),USA,Multinational,Eutelsat -- leased from Loral Skynet Satellite Services (Loral Global Alliance) ,Commercial,Communications,,GEO,,-14.99,35773,35799,3.08E-04,0.05,1436.09,3878,1900,10600,10/19/99,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44LP,1999-059A,25949,"Voice and video communications to the Americas, Europe, and Africa",
Telstar 12V (Telstar 12 Vantage),NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-15,35645,35727,9.75E-04,0.1,1436.1,4900,,,11/24/15,15 yrs.,Airbus Defense and Space,France/UK/Germany/Spain,Tanegashima Space Center,H-2A,2015-068A,41036,Only second time Japan has successfully launched a commercial geosynchronous satellite into orbit.,
Telstar 14R (Estrela do Sul 2),Brazil,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-63,35783,35791,9.49E-05,0.02,1436.1,4970,2150,12000,05/20/11,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2011-021A,37602,Five communications antennas and 46 Ku-band transponders -- 19 switchable and 27 fixed. Will also serve Brazil. Failed to fully deploy one of its solar panels.,
Telstar 18 (Apstar 5),NR,Multinational,Loral Skynet Satellite Services (Loral Global Alliance)/APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,138.04,35778,35795,2.02E-04,0.01,1436.1,4640,2500,"16,000 (EOL)",06/29/04,13 yrs.,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2004-024A,28364,54 active transponders; one of the most powerful communications satellites built to date; coverage across East Asia and the Pacific Ocean,
TerraSAR-X 1 (Terra Synthetic Aperture Radar X-Band),Germany,Germany,German Aerospace Center (DLR)/Infoterra,Government/Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,507,509,1.45E-04,97.5,94.8,1230,,,06/15/07,5 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,2007-026A,31698,"X-band radar system; monitor vegetation and crops across the globe, and special emphasis will be placed on keeping tabs on environmental changes. Commercial sale to business and military clients as well.",
TerraStar 1,USA,USA,TerraStar Corporation,Commercial,Communications,,GEO,,-111,35783,35791,9.49E-05,5.94,1436.11,6910,,,07/01/09,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2009-035A,35496,Largest commercial satellite ever built; 18-meter-diameter unfurlable S-band antenna; provide mobile voice and data communications in North America to smartphone-size handsets.,
"TET-1 (Technologieerprobungsträger 1, Technology Experiment Carrier)",Germany,Germany,German Aerospace Center,Commercial,Technology Development,,LEO,Sun-Synchronous,0,501,505,2.91E-04,97.5,94.7,120,,20,07/22/12,1 yr.,Kayser-Threde GmbH,Germany,Baikonur Cosmodrome,Soyuz-Fregat,2012-039D,38710,"Center of the OOV (On Orbit Verification) Program, initiated to offer on-orbit verification possibilities to the German industrial and scientific aerospace community.",
"Thaicom-4 (Ipstar 1, Measat 5)",NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,,GEO,,119.5,35775,35798,2.73E-04,0,1436.1,6505,,14000,08/11/05,12 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5G,2005-028A,28786,"84 Ku-band and 18-Ka band transponders, voice, video and broadband to 14 countries. Deal signed with Measat in 2011 - capacity on Thaicom 4 to be marketed in Malaysia as Measat 5.",
Thaicom-5,NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,,GEO,,78.54,35777,35796,2.25E-04,0.04,1436.1,2800,1220,5000,05/27/06,12 yrs.,Alcatel Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2006-020B,29163,Television and Internet services to the Asia-Pacific region; 25 C-band and 14 Ku-band transponders.,
Thaicom-6,NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,,GEO,,78.5,35786,35796,1.19E-04,0.05,1436.3,3325,,,01/06/14,15 yrs.,Orbital Sciences Corp.,USA,Cape Canaveral,Falcon 9,2014-002A,39500,"Comsat to serve the mainland of south east Asia, particularly Thailand. Some services will be provided to east Africa, including Madagascar.",
Thaicom-8,NR (12/16),Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,,GEO,,78.5,35843,35890,5.56E-04,0.03,1440.09,3025,,,05/27/16,15 yrs.,Orbital ATK,USA,Cape Canaveral,Falcon 9,2016-031A,41552,,
THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Science,,Elliptical,,0,461,87304,8.64E-01,15.7,1868.98,126,77,40,02/17/07,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004A,30580,Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.,
THEMIS D (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Science,,Elliptical,,0,467,87260,8.64E-01,15.7,1867.91,126,77,40,02/17/07,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004D,30797,Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.,
THEMIS E (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Science,,Elliptical,,0,474,87526,8.64E-01,15.7,1875.53,126,77,40,02/17/07,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004E,30798,Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.,
THEOS (Thailand Earth Observation System),Thailand,Thailand,Geo-Informatics and Space Technology Development Agency (GISTDA),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,824,826,1.39E-04,98.7,101.4,750,670,840,10/01/08,5 yrs.,EADS Astrium,France,Dombarovsky Air Base,Dnepr,2008-049A,33396,"Panchromatic imager with 2M resolution; applications in cartography, land use, agricultural monitoring, forestry management, coastal zone monitoring and flood risk management.",
Thor-3 ,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,,GEO,,-4,35777,35795,2.13E-04,0.07,1436.07,1400,646,1400,06/10/98,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta 2,1998-035A,25358,"14 Ku-band; Nordic region, central and eastern Europe.",
Thor-5 (Thor 2R),Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,,GEO,,-0.72,35773,35798,2.97E-04,0.01,1436.1,2024,,,02/11/08,15 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2008-006A,32487,"25 Ku-band transponders; direct-to-home and Internet to Scandinavia, eastern Europe, Middle East.",
Thor-6,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,,GEO,,-1,35779,35794,1.78E-04,0.02,1436.1,3050,,5900,10/29/09,15 yrs.,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2009-058B,36033,36 Ku-band transponders; Central and eastern Europe and Nordic region.,
Thor-7,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,,GEO,,-1,35727,35741,1.66E-04,0,1433.4,4600,,,04/26/15,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2015-022A,40613,"21 Ku-band transponders and the equivalent of 25 Ka-band transponders. Oslo-based Telenor is using the satellite to break into the market for Ka-band broadband maritime communications, with the focus on the North Atlantic. - See more at: http://spacenews.com/ariane-5-launches-sicral-2-and-thor-7-telecommunications-satellites/#sthash.DdDKvkj6.dpuf",
Thuraya 2 ,United Arab Emirates,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,,GEO,,44.13,35764,35807,5.10E-04,2.99,1436.07,5250,3200,11000,06/10/03,12 yrs.,Hughes Space and Communications Group,USA,Sea Launch Odyssey,Zenit 3SL,2003-026A,27825,"Capacity for 13,750 simultaneous calls; voice, fax, data transmissions from/to mobile telephones; Middle East, North and Central Africa, Europe, Central Asia and the Indian subcontinent.",
Thuraya 3,United Arab Emirates,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,,GEO,,98.6,35766,35807,4.86E-04,5.84,1436.1,5180,,,01/15/08,12 yrs.,Boeing Satellite Systems,USA,Sea Launch Odyssey,Zenit 3SL,2008-001A,32404,"Mobile phone communication in eastern Asia, Middle East, Australia.",
Tiangong-1 (TG-1),China,China,Beijing Aerospace Flight Control Center,Government,Technology Development,,LEO,Non-Polar Inclined,0,360,361,7.43E-05,42.8,91.8,8506,,,09/29/11,2 yrs.,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2F,2011-053A,37820,First of the three experimental single-module orbital stations (Space Laboratory) to be launched by China between 2011 and 2016 to develop and test a range of techniques required for building a permanently-manned space station.,
Tianhui 1-01,China,China,China Aerospace Science and Technology Corporation (CASC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,488,504,1.17E-03,97.4,94.5,2500,,,08/24/10,,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2010-040A,36985,"Mapping  and land resource sruveys to promote economic development; 3-D survey camera, ground resolution of 5m; multi-spectrum at 10m.",
Tianhui 1-02,China,China,China Aerospace Science and Technology Corporation (CASC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,485,505,1.46E-03,97.4,94.5,2500,,,05/06/12,,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2012-020A,38256,"Cartographic imaging satellite capable of stereoscopic Earth photography, equipped with orbit adjustment engine to maintain height against air drag.",
Tianhui 1-03,NR,China,China Aerospace Science and Technology Corporation (CASC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,489,500,8.01E-04,97.36,94.5,2500,,,10/26/15,,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-061A,40988,"Cartographic imaging satellite capable of stereoscopic Earth photography, equipped with orbit adjustment engine to maintain height against air drag.",
Tiankun-1,NR (9/17),China,Chinese Academy of Launch Vehicle Technology (CASIC),Government,Earth Observation/Technology Development,,LEO,Sun-Synchronous,0,384,406,1.63E-03,96.9,92.4,,,,03/02/17,,Chinese Academy of Launch Vehicle Technology (CASIC),China,Jiuquan Satellite Launch Center,KT-2,2017-012A,42061,Test of new rocket KT-1 and small satellite into orbit.,
"TianLian 1 (TL-1-01, CTDRS)",China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,,GEO,,77.08,35769,35813,5.22E-04,0.06,1436.08,3750,,,04/25/08,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,2008-019A,32779,"China's first data relay satellite, will cover Shenzhou missions.Supports near real-time communication.",
"TianLian 2 (TL-1-02, CTDRS)",China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,,GEO,,176.72,37778,37794,1.81E-04,1,1436.1,2250,,,07/11/11,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,2011-032A,37737,Data relay satellite. Will cover Shenzhou missions and China's space station.,
"TianLian 3 (TL-1-03, CTDRS)",China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,,GEO,,16.86,35768,35802,4.03E-04,2.04,1436,2200,,,07/25/12,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,2012-040A,38730,Data relay satellite. Will cover Shenzhou missions and China's space station.,
"TianLian 4 (TL-1-04, CTDRS)",NR (12/16),China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,,GEO,,76.95,35778,35793,1.78E-04,3.06,1436.1,2200,,,11/22/16,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,2016-072A,41869,Fourth in a series of data relay satellites for upcoming Chinese space station.,
Tiantong-1-01,NR (11/16),China,China Telecom,Government,Communications,,GEO,,101.43,35765,35805,4.74E-04,4.89,1436.05,,,,08/05/16,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2016-048A,41725,First satellite in China's mobile telecom network.,
Tiantuo-2,NR,China,National University of Defense Technology,Government,Earth Observation/Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,477,493,1.17E-03,97.42,94.31,67,,,09/08/14,,National University of Defense Technology,China,Taiyuan Launch Center,Long March 4B,2014-053B,40144,Carries real-time video Earth imaging system and an AIS receive for relaying ship location information.,
Tiantuo-3 (Luliang 1),NR,China,National University of Defense Technology,Government,Technology Development,,LEO,Sun-Synchronous,0,392,522,9.52E-03,97.42,93.73,20,,,09/19/15,,National University of Defense Technology,China,Taiyuan Launch Center,Long March 6,2015-049A,40899,,
"Tianwang 1A (TW-1A, SECM-1, Shangkeda-2)",NR,China,Shanghai Engineering Center for Microsatellites,Civil,Technology Development,,LEO,Sun-Synchronous,0,466,484,1.31E-03,97.31,94.1,3,,,09/24/15,,Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 11,2015-051D,40928,Carries amateur radio platform.,
Tianwang 1C (TW-1C; NJFA-1),NR,China,Nanjing University of Aeronautics and Astronautics,Civil,Technology Development,,LEO,Sun-Synchronous,0,466,486,1.46E-03,97.31,94.12,5,,,09/24/15,,Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 11,2015-051B,40926,Carries amateur radio platform.,
TIGRISat,Iraq,Iraq,La Sapienza University of Rome,Civil,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,611,698,6.19E-03,97.98,97.82,1,,,06/19/14,,La Sapienza University of Rome,Italy,Dombarovsky Air Base,Dnepr,2014-033AK,40043,"The satellite carries an RGB imaging system using a dust detection algorithm to detect, monitor and study dust storm events over Iraq.",
TIMED (Thermosphere • Ionosphere • Mesosphere • Energetics and Dynamics),USA,USA,"National Aeronautics and Space Administration (NASA)/Applied Physics Laboratory, Johns Hopkins",Government/Civil,Space Science,,LEO,Polar,0,612,613,7.16E-05,74.1,97,587,,406,12/07/01,2 yrs.,"Applied Physics Laboratory, Johns Hopkins",USA,Vandenberg AFB,Delta 2,2001-055B,26998,Study influences of the sun and humans on the least explored and understood region of Earth's atmosphere – the Mesosphere and Lower Thermosphere/Ionosphere (MLTI).,
TJS-1 (Tongxin Jishu Shiyan 1),NR,China,Chinese Academy of Space Technology,Government,Technology Development,,GEO,,155.07,35776,35795,2.25E-04,0,1436.03,,,,09/12/15,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-046A,40892,Communications technology test satellite.,
TJS-2 (Tongxin Jishu Shiyan 2),NR (8/17),China,Chinese Academy of Space Technology,Government,Technology Development,,GEO,,107.42,35783,35793,1.19E-04,0.5,1436.19,,,,01/05/17,,Shanghai Academy of Spaceflight Technology,China,Xichang Satellite Launch Center,Long March 3B,2017-001A,41911,Communications technology test satellite.,
TKSat-1 (Túpac Katari Satellite 1),Bolivia,Bolivia,Bolivia Aerospace Bureau,Government,Communications,,GEO,,-87.2,35773,35799,3.08E-04,0.27,1436.07,5000,,,12/20/13,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2013-075A,39481,Bolivia's first communications satellite.,
TNS-0-2 Nanosputnik,NR (10/17),Russia,Russian Space Systems,Government,Technology Development,,LEO,,0,398,407,6.64E-04,51.6,92.6,5,,,08/17/17,,Russian Space Systems,Russia,International Space Station,Manual Deployment,1998-067ND,42914,Further development of nanosatellite technology.,
Toki (Bird JJ),NR (10/17),Japan,Kyushu Institute of Technology (KIT),Civil,Communications/Technology Development,Amateur Radio,LEO,Non-Polar Inclined,0,402,402,0.00E+00,51.6,92.6,2,,,07/07/17,,Kyushu Technical University,Japan,International Space Station,Nanorack Deployer,1998-067MU,42820,Five-country project for learning and capacity building.,
Tomsk-TPU-120,NR (10/17),Russia,Tomsk Polytechnic University,Civil,Communications/Technology Development,Amateur Radio,LEO,Non-Polar Inclined,0,397,408,8.12E-04,51.6,92.6,5,,,08/17/17,,Tomsk Polytechnic University,Russia,International Space Station,Manual Deployment,1998-067MZ,42910,First satellite deployed with structure created by 3-D printing.,
"Trumpet 3 (NROL-4, National Reconnaissance Office Launch-4, USA 136)",USA,USA,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,Electronic Intelligence,Elliptical,,0,1210,38740,7.12E-01,64.7,709.61,8000,,,11/08/97,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1997-068A,25034,Signals intelligence; surveillance of cellular phones.,
Tselina-2 (Cosmos 2428),Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Polar,0,844,858,9.69E-04,71,102,3200,,,06/29/07,,KB Yuznoye,Ukraine,Baikonur Cosmodrome,Zenit 2M,2007-029A,31792,ELINT; likely the last satellite of this class; to be replaced by Liana system.,
TSUBAME,NR,Japan,"Tokyo Institute of Technology, Tokyo University of Science and JAXA",Civil,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,505,569,4.63E-03,97.47,95.38,49,,,11/06/14,,"Tokyo Institute of Technology, Tokyo University of Science and JAXA",Japan,Dombarovsky Air Base,Dnepr,2014-070E,40302,Earth observation and observation of gamma ray bursts from the sky.,
"TUGSat-1  (Technische Universität Graz Satellit, CanX-3b, BRITE-Austria)",Austria,Austria,Technical University of Graz,Civil,Technology Development,,LEO,Sun-Synchronous,0,770,784,9.79E-04,98.6,100.3,14,7,5.4,02/25/13,,University of Toronto Institute for Aerospace Studies (UTIAS),Canada,Satish Dhawan Space Centre,PSLV,2013-009F,39091,"Austria's first satellite.  Part of the international BRIght-star Target Explorer program -- The satellite will be used, along with five other spacecraft, to conduct photometric observations of stars with apparent magnitude of greater than 4.0 as seen from Earth.",
Turkmen Alem 52E/MonacoSAT,NR,Turkmenistan/Monaco,Turkmenistan Ministry of Communications/SSI-Monaco,Government/Commercial,Communications,,GEO,,52,35655,35784,1.53E-03,0,1432.69,4700,1850,,04/27/15,15 yrs.,Thales Alenia Space,France/Italy,Cape Canaveral,Falcon 9,2015-023A,40617,"Joint ownership - Turkmenistan 26 transponders, Monaco 12 transponders. Central Asia, Middle East, North Africa.",
Turksat 3A,Turkey,Turkey,Turksat,Commercial,Communications,,GEO,,42.04,35778,35793,1.78E-04,0.01,1436.06,3100,1272,8100,06/12/08,,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2008-030B,33056,24 Ku-band transponders; television service to Turkey.,
Turksat 4A,NR,Turkey,Turksat,Commercial,Communications,,GEO,,50,35776,35797,2.49E-04,0.01,1436.08,4869,,,02/14/14,15 yrs.,Mitsubishi Electric Corporation,Japan,Baikonur Cosmodrome,Proton,2014-007A,39522,Will move to 42 East when joined by Turksat 4B.,
Turksat 4B,NR,Turkey,Turksat,Commercial,Communications,,GEO,,50,35787,35805,2.13E-04,0.03,1436.57,5000,,,10/16/15,15 yrs.,Mitsubishi Electric Corporation,Japan,Baikonur Cosmodrome,Proton,2015-060A,40984,,
Tyvak-53b,NR (10/17),USA,"Tyvak Nanosatellite Systems, Inc.",Commercial,Technology Demonstration,,LEO,Sun-Synchronous,0,497,516,1.38E-03,97.45,94.7,5,,,06/23/17,,"Tyvak Nanosatellite Systems, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-036AG,42795,Validate technology aimed at helping to deorbit small satellites.,
"UCLSat (University College London Satellite, QB50 GB03) ",NR (10/17),United Kingdom,University College London,Civil,Technology Development/Educational,,LEO,Sun-Synchronous,0,496,513,1.24E-03,97.45,94.7,3,,,06/22/17,.5 - 2 yrs.,University College London,United Kingdom,Satish Dhawan Space Centre,PSLV,2017-036A,42765,"Part of QB50, a European Union-funded mission to support universities and schools from all over the world in designing, building and launching their own small, affordable satellites.",
"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,,GEO,,72.67,35738,35834,1.14E-03,1.97,1436.1,3200,1540,"3,800 (EOL)",11/24/99,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1999-063A,25967,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,
"UFO-11  (USA 174) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,,GEO,,71.44,35786,35787,1.19E-05,2.16,1436.1,3200,1545,"2,800 (EOL)",12/18/03,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3,2003-057A,28117,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,
"UFO-2 (USA 95) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,,GEO,,28.79,35766,35807,4.86E-04,8.27,1436.12,3200,1545,"2,800 (EOL)",09/03/93,,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1993-056A,22787,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application. Inclined.,
"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,,GEO,,-177.12,35763,35775,1.42E-04,3.34,1435.22,3200,1545,"2,800 (EOL)",01/29/95,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1995-003A,23467,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,
"UFO-6 (USA 114, UFO F6 EHF) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,,GEO,,-105.5,35744,35829,1.01E-03,4.11,1436.12,3200,1545,"2,800 (EOL)",10/22/95,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1995-057A,23696,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,
"UFO-7 (USA 127, F7 EHF) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,,GEO,,-21.91,35738,35835,1.15E-03,3.79,1436.11,3200,1545,"2,800 (EOL)",07/25/96,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1996-042A,23967,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,
"UFO-8 (USA 138, UHF F/O F8) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,,GEO,,172.28,35772,35794,2.61E-04,5.24,1435.94,3206,1545,"3,800 (EOL)",03/16/98,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1998-016A,25258,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,
"UK-DMC-2 (BNSCSat-2, British National Science Center Satellite 2)",United Kingdom,United Kingdom,UK/DMC International Imaging (DMCII),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,660,662,1.42E-04,98,98,97,,,07/29/09,5 yrs.,Surrey Satellite Technologies Ltd. (SSTL),United Kingdom,Baikonur Cosmodrome,Dnepr,2009-041C,35683,Part of Disaster Monitoring Constellation second generation; five countries share all data.,
UKube-1 (UK Cubesat 1),United Kingdom,United Kingdom,UK Space Agency,Government,Technology Development,,LEO,Sun-Synchronous,0,626,631,3.57E-04,98.4,97.27,3,,,07/08/14,,Clyde Space,United Kingdom,Baikonur Cosmodrome,Soyuz-2.1b,2014-037F,40074,Technology demonstrator to show how impacts from cosmic particles can be used to increase the security of satellite communications.,
UNIFORM 1  (UNiversity International FORmation Mission 1),Japan,Japan,Wakayama University (UNIFORM consortium),Civil,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,622,629,5.00E-04,97.87,97.2,50,,140,05/24/14,,Wakayama University and other Japanese universities,Japan,Tanegashima Space Center,H-2A,2014-029B,39767,Forest fire monitoring as part of a small constellation.,
UNSW-ECO (QB50 - AU02),NR (10/17),Australia,University of New South Wales,Civil,Earth Science,,LEO,Non-Polar Inclined,0,397,408,8.12E-04,51.6,92.6,3,,,05/25/17,,University of New South Wales,Australia,International Space Station,Nanorack Deployer,1998-067MC,42723,Study the thermosphere by means of ion/neutral mass spectrometry and temperature measurements. ,
"Ursa Maior ((University of Rome la SApienza MicroAttitude In ORbit testing, QB50 IT02)",NR (10/17),Italy,University of Rome,Civil,Earth Science,,LEO,Sun-Synchronous,0,496,512,1.16E-03,97.45,94.7,5,,,06/23/17,,University of Rome - La Sapienza,Italy,Satish Dhawan Space Centre,PSLV,2017-036M,42776,Study lower earth atmosphere.,
UWE-3 (University of Würzburg Experimental Satellite 3),Germany,Germany,University of Würzburg,Civil,Communications,,LEO,Sun-Synchronous,0,593,700,7.62E-03,97.8,97.6,1,,,11/21/13,,University of Würzburg,Germany,Dombarovsky Air Base,Dnepr,2013-066AG,39446,Amateur radio.,
"Van Allen Probe A (RBSP-A, Radiation Belt Storm Probes)",USA,USA,National Aeronautics and Space Administration (NASA)/Johns Hopkins University Applied Physics Laboratory,Government,Earth Observation,Earth Science,Elliptical,,0,591,30534,6.83E-01,10.03,539.06,648,,,08/30/12,,Johns Hopkins University Applied Physics Laboratory,USA,Cape Canaveral,Atlas 5,2012-046A,38752,Study the Earth's radiation belts on various scales of space and time.,
"Van Allen Probe B (RBSP-B, Radiation Belt Storm Probes)",USA,USA,National Aeronautics and Space Administration (NASA)/Johns Hopkins University Applied Physics Laboratory,Government,Earth Observation,Earth Science,Elliptical,,0,595,30657,6.83E-01,10.04,541.4,666,,,08/30/12,,Johns Hopkins University Applied Physics Laboratory,USA,Cape Canaveral,Atlas 5,2012-046B,38753,Study the Earth's radiation belts on various scales of space and time.,
Velox 1,NR,Singapore,Nanyang Technological University,Civil,Technology Development,,LEO,Sun-Synchronous,0,642,655,9.26E-04,98.25,97.7,4,,,06/30/14,,Nanyang Technological University,Singapore,Satish Dhawan Space Centre,PSLV-CA,2014-034E,40057,Purpose was to give students experience in mounting a satellite building and launch campaign. It carries a high resolution camera for Earth imaging.,
Velox 2,NR,Singapore,Nanyang Technological University,Civil,Technology Development,,LEO,Equatorial,0,537,550,9.40E-04,14.98,95.48,13,,,12/16/15,,Nanyang Technological University,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077F,41171,"Communications Payload, GPS Experimental Payload and Fault Tolerant Payload.",
