"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,
Coriolis (Windsat),USA,USA,US Air Force/ US Navy/NASA,Military,Earth Observation,,LEO,Sun-Synchronous,0,820,841,1.46E-03,98.8,101.5,817,395,1174,01/06/03,3 yrs.,"Spectrum Astro, Inc.",USA,Vandenberg AFB,Titan 2,2003-001A,27640,Monitor ocean winds and image Solar Mass Ejections (SME).,
Corvis-BC-1 (Landmapper BC),NR (10/17),USA,Astro Digital,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,586,604,1.29E-03,97.6,96.6,11,,,07/14/17,,Astro Digital,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042Y,42847,Both medium and high resolution imagery.,
Corvis-BC-2 (Landmapper BC),NR (10/17),USA,Astro Digital,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,586,604,1.29E-03,97.6,96.6,11,,,07/14/17,,Astro Digital,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042X,42846,Both medium and high resolution imagery.,
"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0,764,836,5.02E-03,72,100.9,70,,46,04/15/06,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011A,29047,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,
"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0,769,831,4.32E-03,72,100.9,70,,46,04/15/06,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011B,29048,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,
"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0,669,746,5.44E-03,72,98.9,70,,46,04/15/06,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011D,29050,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,
"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0,751,849,6.83E-03,72,100.9,70,,46,04/15/06,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011E,29051,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,
"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,Meteorology,LEO,Polar,0,772,828,3.91E-03,72,100.9,70,,46,04/15/06,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011F,29052,“. . . Provide atmospheric data daily in real time over thousands of points on Earth for both research and operational weather forecasting by measuring the bending of radio signals from the U.S. Global Positioning System (GPS) as the signals pass through Earth's atmosphere.”,
Cosmos 2504,NR,Russia,Ministry of Defense,Military,Technology Development,,LEO,Polar,0,1171,1504,2.16E-02,82.4,112.41,,,,03/31/15,,Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020D,40555,Unknown purpose; displays high maneuverability. ,
Cosmos 2519 (Napryazhenie No. 1?),NR (10/17),Russia,Ministry of Defense,Military,Space Observation,,LEO,Sun-Synchronous,0,653,668,1.07E-03,98,97.9,,,,06/23/17,,NPO Lavochkin,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2017-037A,42798,"Designed to make extremely accurate measurements of Earth’s shape and gravitational field. Two months after launch released a small ""inspector satellite."" Made clear it would only inspect its host satellite.",
Cosmos 2519 Subsatellite,NR (10/17),Russia,Ministry of Defense,Military,Space Observation,,LEO,Sun-Synchronous,0,650,676,1.85E-03,97.9,97.2,,,,06/23/17,,NPO Lavochkin,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2017-037D,42919,Sputnik inspector. ,
