"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,
Anik F1 ,Anik F1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,"GEO, 107.31° W",-107.31,"35,782","35,790",9.49E-05,0.04,1436.1,"4,710","2,950","15,500 (EOL)",11/21/2000,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,"36 C-band and 48 Ku-band transponders; broadcasting, business; North and South America; faulty solar panels may affect operations by 2005.",,JM/304,,http://www.boeing.com/defense-space/space/bss/hsc_pressreleases/00_04_17_anikf2.html,http://www.telesat.ca/satellites/photos/satellites_gallery7.htm,,,,
Anik F1R,Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,"GEO, 107.3° W",-107.30,"35,778","35,793",1.78E-04,0.07,1436.06,"4,500",,"10,000",9/9/2005,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton-M,2005-036A,28868,"32 Ku-band, 24 C-band transponders, 2 navigation transponders; North America.",,SC - ASCR,http://www.telesat.ca/satellites/index.htm,http://www.telesat.ca/news/2005/05-14.htm,http://www.space.eads.net/families/daily-life-benefits/communications/anik-f1r,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2005/036A.HTM,,,
Anik F2 ,Anik F2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,"GEO, 111.1° W",-111.10,"35,783","35,790",8.30E-05,0.04,1436.09,"5,910","3,805","16,000",7/18/2004,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada",,SC - ASCR,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.telesat.ca/satellites/index.htm,http://www.boeing.com/defense-space/space/bss/factsheets/702/anik_f2/anik_f2.html,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2004/027A.HTM,,,
Anik F3,Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,"GEO, 119° W",-119.00,"35,776","35,797",2.49E-04,0,1436.1,"4,715",,"17,500",4/9/2007,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton-M,2007-009A,31102,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.",,SC - ASCR,http://nssdc.gsfc.nasa.gov/spacewarn/spx642.html,http://www.telesat.ca/satellites/index-e.asp,,,,,
Apstar 1,Apstar 1,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,"GEO, 134° E",+134.00,"35,777","35,795",2.13E-04,0,1436.06,"1,400",560,"1,100",7/21/1994,9 yrs.,Hughes Space and Communications Group,USA,Xichang Satellite Launch Center,Long March,1994-043A,23185,24 C-band transponders.,,JMSatcat1104,,http://www.apstar.com/pressroom/press/press50.htm,http://nssdc.gsfc.nasa.gov/spacewarn/spx489.html,,,,
Apstar 1A (Apstar 3),Apstar 1A,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,"GEO, 134.05° E",+134.05,"35,784","35,790",7.12E-05,0.01,1436.14,"1,400",560,"1,130",7/3/1996,12 yrs.,Boeing Satellite Systems,USA,Xichang Satellite Launch Center,Long March CZ-3,1996-039A,23943,"TV coverage; 24 C-band transponders; China, Japan, Southeast Asia and India.",,JM/304,http://nssdc.gsfc.nasa.gov/spacewarn/spx513.html,http://www.fas.org/spp/guide/china/comm/apstar.htm,http://www.apstar.com/apstar/apstar_sys.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Apstar 2R (Telstar 10),Apstar 2R,China (PR),Leased to APT Satellite Holdings Ltd./Loral Skynet,Commercial,Communications,"GEO, 76.48° E",+76.48,"35,777","35,795",2.13E-04,0.04,1436.09,"3,750","2,000","8,300",10/17/1997,15 yrs.,Space Systems Loral,USA,Xichang Satellite Launch Center,Long March 3B,1997-062A,25010,"One of the most powerful in Asia-Pacific service; 28 C-band, 16 Ku-band; China, Korea, Taiwan, Europe, Africa, Australia.",,JM/304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://www.apstar.com/apstar/apstar_sys.html,,,,
Apstar 6,Apstar 6,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,"GEO, 134° E",+134.00,"35,784","35,789",5.93E-05,0.01,1436.08,"4,680",,,4/12/2005,,Alcatel Space Industries,France,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638,,,SC - ASCR,http://www.apstar.com/apstar/apstar_vi.html,http://www.apstar.com/pressroom/press/press50.htm,http://www.lib.cas.cz/knav/space.40/2005/I012A.HTM,,,,
Arabsat 2B (Arabsat IIB),Arabsat 2B,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,"GEO, 30.48° E",+30.48,"35,770","35,801",3.68E-04,0.03,1436.06,"2,661","1,570","5,000",11/13/1996,14 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 44L,1996-063A,24652,Second generation; radio and tv communications to Middle East.,,JM/304,www.arabsat.com,http://nssdc.gsfc.nasa.gov/spacewarn/spx517.html,http://www.selkirkshire.demon.co.uk/analoguesat/comparison20.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Artemis (Advanced Data Relay and Technology Mission Satellite) ,Advanced Data Relay and Technology Mission Satellite (Artemis) ,ESA,European Space Agency,Commercial/Government,Communications/Research,"GEO, 21.36° E",+21.36,"35,759","35,812",6.29E-04,2.41,1436.08,"3,105","1,500","4,600",7/12/2001,10 yrs.,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,2001-029A,26863,"An 18-month rescue mission recovered the satellite; develop European capabilities in satellite communications; test new technologies; support development of European navigation system (EGNOS, c. 2010).",,JM/304,http://www.esa.int/artemislaunch/,http://www.esa.int/export/esaSA/ESADLGPZ9NC_telecom_0.html,http://nssdc.gsfc.nasa/gov/spacewarn/spx573.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
