"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thor-6,Thor-6,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,,-1,"35,779","35,794",1.78E-04,0.02,1436.1,"3,050",,"5,900",10/29/2009,15 yrs.,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2009-058B,36033,36 Ku-band transponders; Central and eastern Europe and Nordic region.,,JM/12_09,http://www.telenorsbc.com/templates/Page.aspx?id=649,http://nssdc.gsfc.nasa/gov/spacewarn/spx672.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thuraya 2 ,Thuraya 2,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,GEO,,44.13,"35,764","35,807",5.10E-04,2.99,1436.07,"5,250","3,200","11,000",6/10/2003,12 yrs.,Hughes Space and Communications Group,USA,Sea Launch (Odyssey),Zenit 3SL,2003-026A,27825,"Capacity for 13,750 simultaneous calls; voice, fax, data transmissions from/to mobile telephones; Middle East, North and Central Africa, Europe, Central Asia and the Indian subcontinent.",,JM/12_08,http://www.thuraya.com/corporate/newsroom/2003/thuraya2-launched.htm,http://nssdc.gsfc.nasa.gov/spacewarn/spx596.html,http://www.thuraya.com/tech/,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thuraya 3,Thuraya 3,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,GEO,,98.6,"35,766","35,807",4.86E-04,5.84,1436.1,"5,180",,,1/15/2008,12 yrs.,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2008-001A,32404,"Mobile phone communication in eastern Asia, Middle East, Australia.",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx651.html,http://www.thuraya.com/content/mission-profile-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tian Xun-1 (TX-1),Tian Xun-1,China (PR),   Nanjing University of Aeronautics and Astronautics,Civil,Technology Development,LEO,,0,464,475,8.04E-04,97.4,94,35,,,11/9/2011,,   Nanjing University of Aeronautics and Astronautics,China (PR),Taiyuan Launch Center,Long March 4B,2011-066A,37874,"Equipped with a 2.5 kg CCD camera that was built by Suzhou University, sporting a maximum resolution of 30 meters.",,www.satellitedebris.net 12/12,http://www.nasaspaceflight.com/2011/11/long-march-4b-launches-yaogan-weixing-12/,,http://www.lib.cas.cz/space.40/2011/066A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiangong-1 (TG-1),Tiangong-1,China (PR),   Beijing Aerospace Flight Control Center,Government,Technology Development,LEO,,0,360,361,7.43E-05,42.8,91.8,"8,506",,,9/29/2011,2 yrs.,,China (PR),Jiuquan Satellite Launch Center,Long March 2F,2011-053A,37820,First of the three experimental single-module orbital stations (Space Laboratory) to be launched by China between 2011 and 2016 to develop and test a range of techniques required for building a permanently-manned space station.,,www.satellitedebris.net 12/12,http://www.sinodefence.com/spacelab/tiangong1.asp,http://www.space.com/13120-china-tiangong-1-space-laboratory-facts-figures.html,http://www.lib.cas.cz/space.40//2011/053A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianhui 1-01,Tianhui 1-01,China (PR),China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,LEO,,0,488,504,1.17E-03,97.4,94.5,"2,500",,,8/24/2010,,DFH Satellite Co. Ltd.,China (PR),Jiuquan Satellite Launch Center,Long March 2D,2010-040A,36985,"Mapping  and land resource sruveys to promote economic development; 3-D survey camera, ground resolution of 5m; multi-spectrum at 10m.",,www.satellitedebris.net 12/12,http://spaceflightnow.com/news/n1008/24longmarch/,http://nssdc.gsfc.nasa.gov/spacewarn/spx682.html,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/040A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianhui 1-02,Tianhui 1-02,China (PR),China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,LEO,,0,485,505,1.46E-03,97.4,94.5,"2,500",,,5/6/2012,,DFH Satellite Co. Ltd.,China (PR),Jiuquan Satellite Launch Center,Long March 2D,2012-020A,38256,"Cartographic imaging satellite capable of stereoscopic Earth photography, equipped with orbit adjustment engine to maintain height against air drag.",,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TianLian 1 (TL-1-01, CTDRS)",TianLian 1,China (PR),Chinese Academy of Space Technology (CAST),Government,Communications,GEO,,77.08,"35,769","35,813",5.22E-04,0.06,1436.08,"3,750",,,4/25/2008,,Chinese Academy of Space Technology (CAST),China (PR),Xichang Satellite Launch Center,Long March 3C,2008-019A,32779,"China's first data relay satellite, will cover Shenzhou missions.Supports near real-time communication.",,JM/12_08,http://www.lib.cas.cz/space.40/2008/I017A.HTM,http://www.sinodefence.com/strategic/spacecraft/tianlian1.asp,http://www.bjreview.com.cn/science/txt/2008-05/12/content_116255.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TianLian 2 (TL-1-02, CTDRS)",TianLian 2,China (PR),Chinese Academy of Space Technology (CAST),Government,Communications,GEO,,176.72,"37,778","37,794",1.81E-04,1,1436.1,"2,250",,,7/11/2011,,Chinese Academy of Space Technology (CAST),China (PR),Xichang Satellite Launch Center,Long March 3C,2011-032A,37737,Data relay satellite. Will cover Shenzhou missions and China's space station.,,SC - ASCR ,http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=2011-032A,http://www.lib.cas.cz/space.40/2011/032A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TianLian 3 (TL-1-03, CTDRS)",TianLian 3 ,China (PR),Chinese Academy of Space Technology (CAST),Government,Communications,GEO,,16.86,"35,768","35,802",4.03E-04,2.04,1436,"2,200",,,7/25/2012,,Chinese Academy of Space Technology (CAST),China (PR),Xichang Satellite Launch Center,Long March 3C,2012-040A,38730,Data relay satellite. Will cover Shenzhou missions and China's space station.,,JM/8_12,http://www.spaceflight101.com/tianlian-1-3-launch.html,http://www.nasaspaceflight.com/2011/07/china-launches-tian-lian-1b-bolster-manned-space-network/,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiantuo 1,Tiantuo 1,China (PR),National University of Defense Technology,Government,Technology Development,LEO,Sun-Synchronous,0,456,459,2.20E-04,97.3,93.7,9,,,5/10/2012,,National University of Defense Technology,China (PR),Taiyuan Launch Center,Long March 4B,2012-021B,38258,Test new satellite sub-systems. There is also a receiver to detect AIS (Automatic Information System) data transmissions from shipping.,,www.satellitedebris.net 12/12,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012,http://www.nudt.edu.cn/articleshow_eng.asp?id=6144,http://www.orbiter-forum.com/showthread.php?t=27472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMED (Thermosphere • Ionosphere • Mesosphere • Energetics and Dynamics),Thermosphere • Ionosphere • Mesosphere • Energetics and Dynamics (TIMED),USA,"NASA/Applied Physics Laboratory, Johns Hopkins",Government/Civil,Astrophysics,LEO,Intermediate,0,612,613,7.16E-05,74.1,97,587,,406,12/7/2001,2 yrs.,"Applied Physics Laboratory, Johns Hopkins",USA,Vandenberg AFB,Delta 2,2001-055B,26998,Study influences of the sun and humans on the least explored and understood region of Earth's atmosphere – the Mesosphere and Lower Thermosphere/Ionosphere (MLTI).,,www.spacedebris.net 12/12,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx578.html,http://www.timed.jhuapl.edu/mission2/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISat-1 (Ticano Satellite),TISat-1,Switzerland,Scuola Universitaria Professionale della Svizzera Italiana - Dipartimento Tecnologie Innovative ,Civil,Technology Development,LEO,Sun-Synchronous,0,611,631,1.43E-03,98,97.1,1,,,7/12/2010,,Scuola Universitaria Professionale della Svizzera Italiana - Dipartimento Tecnologie Innovative ,Switzerland,Sriharikota Launch Station,PSLV,2010-035E,36799,Commercial Off the Shelf (COTS) components wherever possible.,,www.spacedebris.net 12/12,http://www.spacelab.dti.supsi.ch/tiSat1.html,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035E.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topsat,Topsat,United Kingdom,Ministry of Defence/British National Space Centre,Government,Technology Development/Earth Observation,LEO,Sun-Synchronous,0,681,704,1.63E-03,97.9,98.6,120,,,10/27/2005,,QinetiQ/Surrey Satellite Technology Ltd.,United Kingdom,Plesetsk Cosmodrome,Kosmos 3M,2005-043B,28891,"Low-cost, high resolution images.",,www.spacedebris.net 12/12,http://news.eoportal.org/eomissions/051031_topsat.html,http://www.lib.cas.cz/www/space.40/2005/043B.HTM,http://www.sstl.co.uk/index.php?loc=114,http://www.sstd.rl.ac.uk/Topsat/Technical_Information.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRMM (Tropical Rainfall Measuring Mission),Tropical Rainfall Measuring Mission (TRMM),Japan/USA,National Space Development Agency(NASA)/Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,LEO,Intermediate,0,400,400,0.00E+00,35,92.6,"3,820",,850,11/27/1997,3 yrs.,NASA/Goddard Space Flight Center,USA,Tanegashima Space Center,H2,1997-074A,25063,Joint mission to measure rainfall in tropical areas; to operate through spring of 2005.,,www.spacedebris.net 12/12,http://earthobservatory.nasa.gov/Library/TRMM/,http://spaceflightnow.com/news/n0104/10trmm/,http://www.nasda.go.jp/projects/sat/trmm/index_e.html,http://trmm.gsfc.nasa.gov/publications_dir/breaking_news.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trumpet 3 (NROL-4, National Reconnaissance Office Launch-4, USA 136)",USA 136,USA,National Reconnaissance Office (NRO)/USAF,Military,Electronic Surveillance,Elliptical,Molniya,0,"1,210","38,740",7.12E-01,64.7,709.61,"8,000",,,11/8/1997,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1997-068A,25034,Signals intelligence; surveillance of cellular phones.,,JMSatcat304,http://www.lib.cas.cz/www/space.40/1997/068A.HTM,http://www.drumbeat.mlaterz.net/October%202002/Tracking%20Saddam%20100102a.htm,http://www.msnbc.com/news/185953.asp#BODY,http://www.fas.org/irp/news/1998/06/980606-sigint.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tselina-2 (Cosmos 2428),Cosmos 2428,Russia,Ministry of Defense,Military,Electronic surveillance,LEO,Intermediate,0,844,858,9.69E-04,71,102,"3,200",,,6/29/2007,,KB Yuznoye,Ukraine,Baikonur Cosmodrome,Zenit 2M,2007-029A,31792,ELINT; likely the last satellite of this class; to be replaced by Liana system.,,www.spacedebris.net 12/12,http://russianforces.org/blog/2007/06/launch_of_cosmos2428_the_last.shtml,http://www.planet4589.org/space/jsr/back/news.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TUGSat-1  (Technische Universität Graz Satellit, CanX-3b, BRITE-Austria)",TUGSat-1,Austria,Technical University of Graz,Civil,Technology Development,LEO,Sun-Synchronous,0,770,784,9.79E-04,98.6,100.3,14,7,5.4,2/25/2013,,University of Toronto Institute for Aerospace Studies (UTIAS),Canada,Satish Dhawan Space Center,PSLV,2013-009F,39091,"Austria's first satellite.  Part of the international BRIght-star Target Explorer program -- The satellite will be used, along with five other spacecraft, to conduct photometric observations of stars with apparent magnitude of greater than 4.0 as seen from Earth.",,SC  - ASCR,http://www.tugsat.tugraz.at/project,http://space50.kosmo.cz/s40/2013/I009F.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turksat 3A,Turksat 3A,Turkey,Turksat,Commercial,Communications,GEO,,42.04,"35,778","35,793",1.78E-04,0.01,1436.06,"3,100","1,272","8,100",6/12/2008,,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2008-030B,33056,24 Ku-band transponders; television service to Turkey.,,JM/12_08,http://www.turksat.com.tr/english/index.php/News/Announcements/Turksat-3A-transferred-to-launch-site-in-Kourou.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx656.html,http://www.lib.cas.cz/space.40/2008/I030B.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turksat-3USAT   ,Turksat-3USAT   ,Turkey,Istanbul Technical University,Civil,Technology Development,LEO,Sun-Synchronous,0,629,654,1.78E-03,98.05,97.55,2,,2,4/26/2013,3 yrs.,Turksat/Istanbul Technical University,Turkey,Jiuquan Satellite Launch Center,CZ-2D,2013-018C,39152,Has amateur radio capacity.,,ZARYA,http://amsat-uk.org/satellites/turksat-3usat/,https://directory.eoportal.org/web/eoportal/satellite-missions/t/turksat-3usat,http://www.zarya.info/Diaries/Launches/Launches.php?year=2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""",USA 146,USA,US Navy,Military,Communications,GEO,,72.67,"35,738","35,834",1.14E-03,1.97,1436.1,"3,200","1,540","3,800 (EOL)",11/24/1999,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1999-063A,25967,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.globalsecurity.org/military/library,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.lib.cas.cz/www/space.40/1999/063A.HTM,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-11  (USA 174) ""UHF Follow-On""",USA 174,USA,US Navy,Military,Communications,GEO,,71.44,"35,786","35,787",1.19E-05,2.16,1436.1,"3,200","1,545","2,800 (EOL)",12/18/2003,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3,2003-057A,28117,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.spaceflightnow.com/atlas/ac203/031211uhfprogram.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx602.html,,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-2 (USA 95) ""UHF Follow-On""",USA 95,USA,US Navy,Military,Communications,GEO,,28.79,"35,766","35,807",4.86E-04,8.27,1436.12,"3,200","1,545","2,800 (EOL)",9/3/1993,,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1993-056A,22787,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application. Inclined.,,JM/1_12,http://www.lib.cas.cz/space.40/1993/I056A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",USA 108,USA,US Navy,Military,Communications,GEO,,-177.12,"35,763","35,775",1.42E-04,3.34,1435.22,"3,200","1,545","2,800 (EOL)",1/29/1995,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1995-003A,23467,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.globalsecurity.org/military/library,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-6 (USA 114, UFO F6 EHF) ""UHF Follow-On""",USA 114,USA,US Navy,Military,Communications,GEO,,-105.5,"35,744","35,829",1.01E-03,4.11,1436.12,"3,200","1,545","2,800 (EOL)",10/22/1995,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1995-057A,23696,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.globalsecurity.org/military/library,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-7 (USA 127, F7 EHF) ""UHF Follow-On""",USA 127,USA,US Navy,Military,Communications,GEO,,-21.91,"35,738","35,835",1.15E-03,3.79,1436.11,"3,200","1,545","2,800 (EOL)",7/25/1996,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1996-042A,23967,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.globalsecurity.org/military/library,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-8 (USA 138, UHF F/O F8) ""UHF Follow-On""",USA 138,USA,US Navy,Military,Communications,GEO,,172.28,"35,772","35,794",2.61E-04,5.24,1435.94,"3,206","1,545","3,800 (EOL)",3/16/1998,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1998-016A,25258,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/601/uhf_followon/uhf_followon.html,http://www.globalsecurity.org/military/library,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://users.ox.ac.uk/~daveh/Space/Military/milspace_comsat.html#ufo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UK-DMC-2 (BNSCSat-2, British National Science Center Satellite 2)",UK-DMC-2,United Kingdom,UK/DMC International Imaging (DMCII),Government,Earth Observation,LEO,Sun-Synchronous,0,660,662,1.42E-04,98,98,97,,,7/29/2009,5 yrs.,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Baikonur Cosmodrome,Dnepr,2009-041C,35683,Part of Disaster Monitoring Constellation second generation; five countries share all data.,,www.spacedebris.net 12/12,http://nssdc.gsfc.nasa.gov/spacewarn/spx669.html,http://www.sstl.co.uk/Missions/Current_Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unisat-3 (University Satellite 3),Unisat-3,Italy,La Sapienza University of Rome,Civil,Scientific Research,LEO,Sun-Synchronous,0,696,795,6.96E-03,98.1,99.7,12,12,,6/29/2004,,La Sapienza University of Rome,Italy,Baikonur Cosmodrome,Dnepr 1,2004-025H,28373,Test solar cells in the space environment.,,www.spacedebris.net 12/12,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,http://www.maris.com/content/index.php3?id=20&mode=rs5_u&cur=5015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-KMO Oko 8 (Cosmos 2479) ,Cosmos 2479,Russia,Ministry of Defense,Military,Early Warning,GEO,,166,"35,696","35,904",2.47E-03,2.26,1436.39,"2,400","1,250","2,600",3/30/2012,,NPO Lovochkin,Russia,Baikonur Cosmodrome,Proton K,2012-012A,38101,Russian early-warning satellite in GEO.,,ZARYA,http://www.spaceflight101.com/oko-launch-updates.html,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012,http://russianforces.org/blog/2012/03/cosmos-2479_-_the_last_geostat.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-KS Oko 87 (Cosmos-2422),Cosmos 2422,Russia,Ministry of Defense,Military,Early Warning,Elliptical,Molniya,0,542,"39,807",7.40E-01,62.8,717.66,"2,400","1,250",,7/21/2006,,NPO Lovochkin,Russia,Plesetsk Cosmodrome,Molniya M,2006-030A,29260,Russian early-warning system.,,SC - ASCR,http://russianforces.org/blog/2010/04/early_warning_system_is_down_t.shtml,http://russianforces.org/blog/2011/06/cosmos-2422_early_warning_sate.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-KS Oko 89 (Cosmos 2446),Cosmos 2446,Russia,Ministry of Defense,Military,Early Warning,Elliptical,Molniya,0,667,"39,697",7.35E-01,62.8,717.9,"2,400","1,250",,12/2/2008,,NPO Lovochkin,Russia,Plesetsk Cosmodrome,Molniya M,2008-062A,33447,Russian early-warning satellite of 73D6 type.,,SC - ASCR 1/09,http://russianforces.org/blog/2008/12/launch_of_cosmos-2446_a_new_fi.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-KS Oko 90 (Cosmos 2469),Cosmos 2469,Russia,Ministry of Defense,Military,Early Warning,Elliptical,Molniya,0,563,"39,128",7.36E-01,62.79,704.3,"2,400","1,250",,9/30/2010,,NPO Lovochkin,Russia,Plesetsk Cosmodrome,Molniya M,2010-049A,37170,Russian early-warning satellite; thought to possibly be the last of the US-KS series.,,SC - ASCR,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/049A.HTM&act=print,http://russianforces.org/blog/2010/09/cosmos-2469_might_be_the_last.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Van Allen Probe A (RBSP-A, Radiation Belt Storm Probes)",RBSP-A,USA,NASA/Johns Hopkins University Applied Physics Laboratory,Government,Earth Science,Elliptical,,0,591,"30,534",6.83E-01,10.03,539.06,648,,,8/30/2012,,Johns Hopkins University Applied Physics Laboratory,USA,Cape Canaveral,Atlas 5,2012-046A,38752,Study the Earth's radiation belts on various scales of space and time.,,SC - ASCR,http://science.nasa.gov/missions/rbsp/,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012,http://space.50.ksomo.cz/s40/2012/1046A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Van Allen Probe B (RBSP-B, Radiation Belt Storm Probes)",RBSP-B,USA,NASA/Johns Hopkins University Applied Physics Laboratory,Government,Earth Science,Elliptical,,0,595,"30,657",6.83E-01,10.04,541.4,666,,,8/30/2012,,Johns Hopkins University Applied Physics Laboratory,USA,Cape Canaveral,Atlas 5,2012-046B,38753,Study the Earth's radiation belts on various scales of space and time.,,SC - ASCR,http://science.nasa.gov/missions/rbsp/,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012,http://space.50.kosmo.cz/s40/2012/1046B.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VeneSat 1 (Simon Bolivar),VeneSat 1,Venezuela,Ministry of Science and Technology,Government,Communications,GEO,,-65,"35,777","35,796",2.25E-04,0.21,1436.1,"5,100",,,10/29/2008,15 yrs.,Great Wall Industry Corp.,China (PR),Xichang Satellite Launch Center,CZ-3B,2008-055A,33414,"12 C-band, 14 Ku-band transponders.",,JM/12_08,http://english.people.com.cn/90001/90781/90876/6550673.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesselsat-1,Vesselsat-1,USA,ORBCOMM Inc.,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0,847,867,1.38E-03,20,102.1,29,,,10/12/2011,,LuxSpace Sarl,Luxembourg,Sriharikota Launch Station,PSLV,2011-058C,37840,"Automatic Identification Service (AIS) enabled satellite - expected to expand the coverage of ORBCOMM's satellite AIS service in the equatorial region, where there is significant shipping activity and critical need for maritime surveillance.",,www.spacedebris.net 12/12,http://www.tmcnet.com/usubmit/2011/10/13/5850994.htm,http://www.spacedaily.com/reports/ORBCOMM_Announces_Launch_of_AIS_Enabled_Satellite_999.html,http://www.lib.cas.cz/space.40/2011/058C.HTM,https://directory.eoportal.org/web/eoportal/satellite-missions/v-w-x-y-z/vesselsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesselsat-2,Vesselsat-2,USA,ORBCOMM Inc.,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0,479,490,8.02E-04,97.5,94.3,29,,,1/9/2012,,LuxSpace Sarl,Luxembourg,Taiyuan Launch Center,Long March 4B,2012-001B,38047,"Designed to relay positions of ships around the world. Constructed by LuxSpace of Luxembourg, the spacecraft's services will supplement Orbcomm's next-generation communications satellites due to begin launching this year.",,www.spacedebris.net 12/12,http://www.spaceflightnow.com/news/n1201/09longmarch/,http://www.luxspace.lu/index.php/News/items/the-second-luxembourg-built-satellite-vesselsat2-launched-successfully.html,https://directory.eoportal.org/web/eoportal/satellite-missions/v-w-x-y-z/vesselsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViaSat-1,ViaSat-1,USA,"ViaSat, Inc.",Commercial,Communications,GEO,,-115,"35,775","35,796",2.49E-04,0.04,1436.09,"6,740",,,10/19/2011,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-059A,37843,"Provide much faster Internet service to more than 1 million customers outside the reach of cable or DSL services at similar prices to existing satellite broadband; also using capacity to power in-flight Internet service by JetBlue, as well as defense and other uses.",,JM/1_12,http://www.viasat.com/broadband-satellite-networks/viasat-1,http://www.viasat.com/viasat-1-launch,http://www.utsandiego.com/news/2011/oct/19/viasat-1-blasts-orbit/?print&page=all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinasat 1,Vinasat 1,Vietnam,Vietnamese Posts and Telecommunications Group (VNPT),Government,Communications,GEO,,131.97,"35,782","35,791",1.07E-04,0.02,1436.1,"2,600",,,4/18/2008,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2008-018A,32767,"Provide voice, video and internet service; Asia, India, Australia, Japan, Hawaii. 12 Ku-band, 8 C-band transponders.",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html,http://www.lib.cas.cz/space.40/2008/I017A.HTM,http://news.bbc.co.uk/1/hi/sci/tech/7356010.stm,http://biz.yahoo.com/prnews/080416/aqw502.html?.v=5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinasat 2,Vinasat 2,Vietnam,Vietnamese Posts and Telecommunications Group (VNPT),Government,Communications,GEO,,131.8,"35,742","35,776",4.04E-04,0.08,1434.69,"2,970",,,5/15/2012,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2012-023B,38332,24 ku-band transponders; provide independence in satellite communications.,,ZARYA,http://www.spaceflight101.com/va-206-ariane-5-mission.html,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
